City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,San Cristobal,VE,65.55,few clouds,7.7669,-72.225,Posada Villaven C.A.
664,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
667,Plettenberg Bay,ZA,68.22,broken clouds,-34.0527,23.3716,Thanda Vista B&B
668,Wanning,CN,78.44,clear sky,18.8003,110.3967,Paradise Hotel
669,Indramayu,ID,83.98,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
670,Bacolod,PH,83.57,broken clouds,10.6667,122.95,Planta Hotel & Residences
676,Acapulco,MX,78.8,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
677,Vasudevanallur,IN,82.6,broken clouds,9.2333,77.4167,Mrinmoyee Apartment
678,Hobyo,SO,80.53,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
679,Nata,PA,75.0,clear sky,8.3333,-80.5167,Cabañas Estancia Bayamon
680,Shiyan,CN,61.92,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
681,Sanmenxia,CN,61.65,broken clouds,34.7747,111.1814,Pengzhou Hotel
